Current,,,,,,,,,
,,,,,,,,,
基金名稱,年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
CY11 國泰豐利平衡,2025/11,-,-,-,-,-,-,-,-
CY22 國泰全球娛樂,2025/11,-,-,-,-,-,-,-,-
DD03 德盛優選大壩,2025/11,-,-,-,-,-,-,-,-
DD09 德盛安聯中小動態,2025/11,-,-,-,-,-,-,-,-
DD11 德盛安聯目標2015,2025/11,-,-,-,-,-,-,-,-
DD12 德盛安聯目標2020,2025/11,-,-,-,-,-,-,-,-
DD13 德盛安聯目標2030,2025/11,-,-,-,-,-,-,-,-
DD16 德盛安聯多元計量,2025/11,-,-,-,-,-,-,-,-
DD25 德盛安聯台灣好息,2025/11,-,-,-,-,-,-,-,-
DF03 德信大富,2025/11,-,-,-,-,-,-,-,-
DF04 德信跨世紀,2025/11,-,-,-,-,-,-,-,-
DF05 德信全方位,2025/11,-,-,-,-,-,-,-,-
DF08 德信長春藤,2025/11,-,-,-,-,-,-,-,-
DF11 德信利基,2025/11,-,-,-,-,-,-,-,-
DS03 中信半導體科技,2025/11,-,-,-,-,-,-,-,-
DS04 富鼎大三元,2025/11,-,-,-,-,-,-,-,-
DS06 富鼎新興中小,2025/11,-,-,-,-,-,-,-,-
DS08 富鼎大台灣,2025/11,-,-,-,-,-,-,-,-
DS10 富鼎亞美,2025/11,-,-,-,-,-,-,-,-
DS11 富鼎寶馬,2025/11,-,-,-,-,-,-,-,-
DS12 富鼎大不同,2025/11,-,-,-,-,-,-,-,-
DS14 富鼎精選組合,2025/11,-,-,-,-,-,-,-,-
DS15 富鼎優選平衡,2025/11,-,-,-,-,-,-,-,-
DS16 富鼎全球收益組合,2025/11,-,-,-,-,-,-,-,-
DS17 富鼎全球永安平衡,2025/11,-,-,-,-,-,-,-,-
DS20 中信東方精選基金,2025/11,-,-,-,-,-,-,-,-
ES01 玉山登峰,2025/11,-,-,-,-,-,-,-,-
ES03 玉山金典平衡,2025/11,-,-,-,-,-,-,-,-
ES04 玉山金如意平衡,2025/11,-,-,-,-,-,-,-,-
ES05 玉山旭日組合,2025/11,-,-,-,-,-,-,-,-
ES06 玉山全球平衡,2025/11,-,-,-,-,-,-,-,-
ES11 施羅德台灣主動,2025/11,-,-,-,-,-,-,-,-
ES12 施羅德全球主動組,2025/11,-,-,-,-,-,-,-,-
ES13 施羅德世界資源,2025/11,-,-,-,-,-,-,-,-
FD01 富達台灣,2025/11,-,-,-,-,-,-,-,-
FD06 富達動力領航組合,2025/11,-,-,-,-,-,-,-,-
FE05 德銀遠東DWS 亞洲,2025/11,-,-,-,-,-,-,-,-
FE07 德銀DWS 台灣精選,2025/11,-,-,-,-,-,-,-,-
FP01 富邦幸福,2025/11,-,-,-,-,-,-,-,-
FP06 富邦冠軍,2025/11,-,-,-,-,-,-,-,-
FP08 富邦88,2025/11,-,-,-,-,-,-,-,-
FP15 富邦價值,2025/11,-,-,-,-,-,-,-,-
FP16 富邦網路,2025/11,-,-,-,-,-,-,-,-
FP18 富邦亞洲科技,2025/11,-,-,-,-,-,-,-,-
FP19 富邦福寶,2025/11,-,-,-,-,-,-,-,-
FP20 富邦全球精選,2025/11,-,-,-,-,-,-,-,-
FP22 富邦福泰,2025/11,-,-,-,-,-,-,-,-
FP30 富邦台灣企業-B類,2025/11,-,-,-,-,-,-,-,-
FP34 富邦農糧精選基金,2025/11,-,-,-,-,-,-,-,-
FP35 富邦新興亞洲,2025/11,-,-,-,-,-,-,-,-
GC06 大華亞洲科技,2025/11,-,-,-,-,-,-,-,-
GC10 永豐中概平衡,2025/11,-,-,-,-,-,-,-,-
GC12 永豐永益平衡,2025/11,-,-,-,-,-,-,-,-
GC15 永豐雙核心組合,2025/11,-,-,-,-,-,-,-,-
GC16 大華創世紀,2025/11,-,-,-,-,-,-,-,-
GC18 大華哥倫布,2025/11,-,-,-,-,-,-,-,-
GC19 大華新世紀,2025/11,-,-,-,-,-,-,-,-
GC20 永豐策略平衡,2025/11,-,-,-,-,-,-,-,-
GC22 永豐麥哲倫全球平,2025/11,-,-,-,-,-,-,-,-
GC24 永豐環球趨勢資源,2025/11,-,-,-,-,-,-,-,-
GC27 永豐全球新興向榮,2025/11,-,-,-,-,-,-,-,-
GC32 永豐亞洲中小,2025/11,-,-,-,-,-,-,-,-
IB01 台陽遠見,2025/11,-,-,-,-,-,-,-,-
IB03 台陽平衡,2025/11,-,-,-,-,-,-,-,-
IB04 國票精選成長,2025/11,-,-,-,-,-,-,-,-
IB05 台陽富利平衡,2025/11,-,-,-,-,-,-,-,-
IB06 惠理康和台灣紅不,2025/11,-,-,-,-,-,-,-,-
IB10 惠理康和美元收 A,2025/11,-,-,-,-,-,-,-,-
IC07 ING 平穩精選,2025/11,-,-,-,-,-,-,-,-
IC13 彰銀安泰ING 活利,2025/11,-,-,-,-,-,-,-,-
IC16 安泰ING 鑫全球成,2025/11,-,-,-,-,-,-,-,-
IC17 安泰ING 鑫全球安,2025/11,-,-,-,-,-,-,-,-
IC31 荷銀安利,2025/11,-,-,-,-,-,-,-,-
IC35 安泰ING 全球首選,2025/11,-,-,-,-,-,-,-,-
IC36 安泰ING 全球安穩,2025/11,-,-,-,-,-,-,-,-
IC37 安泰ING 盛利,2025/11,-,-,-,-,-,-,-,-
IC39 ING 歐洲不動產 A,2025/11,-,-,-,-,-,-,-,-
IC44 安泰ING 韓國,2025/11,-,-,-,-,-,-,-,-
IC57 野村金磚七國,2025/11,-,-,-,-,-,-,-,-
II04 國際台灣TFC,2025/11,-,-,-,-,-,-,-,-
II05 兆豐國際精選二十,2025/11,-,-,-,-,-,-,-,-
II07 國際祥龍,2025/11,-,-,-,-,-,-,-,-
II13 兆豐國際金龍,2025/11,-,-,-,-,-,-,-,-
II16 兆豐國際安盈,2025/11,-,-,-,-,-,-,-,-
II21 兆豐國際平衡,2025/11,-,-,-,-,-,-,-,-
II22 兆豐國際兆豐,2025/11,-,-,-,-,-,-,-,-
II23 兆豐國際亞太通平,2025/11,-,-,-,-,-,-,-,-
II24 兆豐國際亞太大聯,2025/11,-,-,-,-,-,-,-,-
II26 兆豐國際巨龍領航,2025/11,-,-,-,-,-,-,-,-
II28 兆豐國際ETF 趨勢,2025/11,-,-,-,-,-,-,-,-
JF102 摩根神龍平衡,2025/11,-,-,-,-,-,-,-,-
JF103 摩根中美G2新勢力,2025/11,-,-,-,-,-,-,-,-
JF108 JP資源活力股票,2025/11,-,-,-,-,-,-,-,-
JF86 摩根全球通網,2025/11,-,-,-,-,-,-,-,-
JF88 摩富新美國,2025/11,-,-,-,-,-,-,-,-
JF91 摩根台灣微型,2025/11,-,-,-,-,-,-,-,-
JF98 摩根縱橫台商,2025/11,-,-,-,-,-,-,-,-
JS08 日盛美亞高科技,2025/11,-,-,-,-,-,-,-,-
JS09 日盛平衡,2025/11,-,-,-,-,-,-,-,-
JS12 日盛美國成長,2025/11,-,-,-,-,-,-,-,-
JS15 日盛全球平衡,2025/11,-,-,-,-,-,-,-,-
JS16 日盛策略平衡,2025/11,-,-,-,-,-,-,-,-
JS18 日盛富利,2025/11,-,-,-,-,-,-,-,-
JS19 日盛富盛平衡,2025/11,-,-,-,-,-,-,-,-
JS22 日盛日本策略,2025/11,-,-,-,-,-,-,-,-
JS23 日盛全球金融資產,2025/11,-,-,-,-,-,-,-,-
JS27 日盛亞洲星鑽,2025/11,-,-,-,-,-,-,-,-
KG02 凱基創星,2025/11,-,-,-,-,-,-,-,-
KG04 凱基先進,2025/11,-,-,-,-,-,-,-,-
KG05 凱基精算家,2025/11,-,-,-,-,-,-,-,-
KG06 凱基長盛,2025/11,-,-,-,-,-,-,-,-
KG08 凱基GAMA策略組合,2025/11,-,-,-,-,-,-,-,-
KG09 凱基藍海策略,2025/11,-,-,-,-,-,-,-,-
KG10 凱基大中華,2025/11,-,-,-,-,-,-,-,-
KG12 凱基台灣電利,2025/11,-,-,-,-,-,-,-,-
KG14 凱基全球五色商組,2025/11,-,-,-,-,-,-,-,-
KH02 荷銀福爾摩莎,2025/11,-,-,-,-,-,-,-,-
KH06 荷銀福爾摩莎成長,2025/11,-,-,-,-,-,-,-,-
KH13 荷銀精選主流,2025/11,-,-,-,-,-,-,-,-
KH14 荷銀店頭,2025/11,-,-,-,-,-,-,-,-
KH15 荷銀中小企業,2025/11,-,-,-,-,-,-,-,-
KH18 光華安泰,2025/11,-,-,-,-,-,-,-,-
KY03 寶來美台雙利,2025/11,-,-,-,-,-,-,-,-
KY04 寶來地產,2025/11,-,-,-,-,-,-,-,-
KY05 寶來海峽,2025/11,-,-,-,-,-,-,-,-
KY07 寶來平衡,2025/11,-,-,-,-,-,-,-,-
KY10 寶來全球優勢,2025/11,-,-,-,-,-,-,-,-
KY20 寶來全球金融 A,2025/11,-,-,-,-,-,-,-,-
KY26 寶來環球運動休閒,2025/11,-,-,-,-,-,-,-,-
KY27 寶來台灣計量平衡,2025/11,-,-,-,-,-,-,-,-
ML13 保德信日韓,2025/11,-,-,-,-,-,-,-,-
ML18 保德信美國,2025/11,-,-,-,-,-,-,-,-
ML19 保德信全球組合,2025/11,-,-,-,-,-,-,-,-
ML20 保德信全球科技,2025/11,-,-,-,-,-,-,-,-
ML21 保德信全球平衡組,2025/11,-,-,-,-,-,-,-,-
ML23 保德信日本,2025/11,-,-,-,-,-,-,-,-
ML30 保德信全球優質股,2025/11,-,-,-,-,-,-,-,-
ML36 保德信新興中小,2025/11,-,-,-,-,-,-,-,-
ML37 保德信大俄羅斯,2025/11,-,-,-,-,-,-,-,-
NC01 建弘基金,2025/11,-,-,-,-,-,-,-,-
NC02 第一金泛太,2025/11,-,-,-,-,-,-,-,-
NC03 建弘雙福,2025/11,-,-,-,-,-,-,-,-
NC04 建弘台北,2025/11,-,-,-,-,-,-,-,-
NC05 建弘新台北,2025/11,-,-,-,-,-,-,-,-
NC07 第一金萬得福精選,2025/11,-,-,-,-,-,-,-,-
NC08 第一金馬來西亞,2025/11,-,-,-,-,-,-,-,-
NC09 第一金福王,2025/11,-,-,-,-,-,-,-,-
NC12 第一金全球台商,2025/11,-,-,-,-,-,-,-,-
NC17 建弘價值,2025/11,-,-,-,-,-,-,-,-
NC20 建弘美國科技,2025/11,-,-,-,-,-,-,-,-
NC22 建弘高股息平衡,2025/11,-,-,-,-,-,-,-,-
NC24 建弘全球平衡組合,2025/11,-,-,-,-,-,-,-,-
NC26 第一金旗艦,2025/11,-,-,-,-,-,-,-,-
NC27 第一金歐洲動力平,2025/11,-,-,-,-,-,-,-,-
NC28 第一金策略平衡,2025/11,-,-,-,-,-,-,-,-
NC31 第一金台灣成長,2025/11,-,-,-,-,-,-,-,-
NC33 第一金金鑽,2025/11,-,-,-,-,-,-,-,-
NC41 第一金全球品牌,2025/11,-,-,-,-,-,-,-,-
NC44 第一金全球資源,2025/11,-,-,-,-,-,-,-,-
PA01 泛亞高倍速,2025/11,-,-,-,-,-,-,-,-
PA03 台育高科技,2025/11,-,-,-,-,-,-,-,-
PA05 寶華成豐永保安康,2025/11,-,-,-,-,-,-,-,-
PA06 寶華成豐嚴選,2025/11,-,-,-,-,-,-,-,-
PS07 統一魔力,2025/11,-,-,-,-,-,-,-,-
PS15 統一中小優質,2025/11,-,-,-,-,-,-,-,-
PS17 統一飛躍成長,2025/11,-,-,-,-,-,-,-,-
PS18 統一保安平衡,2025/11,-,-,-,-,-,-,-,-
PS19 統一全球精選組合,2025/11,-,-,-,-,-,-,-,-
PS28 統一大南亞,2025/11,-,-,-,-,-,-,-,-
SH04 盛華8888中小,2025/11,-,-,-,-,-,-,-,-
SH06 盛華2008華商,2025/11,-,-,-,-,-,-,-,-
SH08 盛華0566全球平衡,2025/11,-,-,-,-,-,-,-,-
SH10 盛華9966平衡,2025/11,-,-,-,-,-,-,-,-
T0102Y 兆豐第一,2025/11,-,-,-,-,-,-,-,-
T0103Y 兆豐國民,2025/11,-,-,-,-,-,-,-,-
T0104Y 兆豐全球,2025/11,-,-,-,-,-,-,-,-
T0105Y 兆豐萬全Aa,2025/11,-,-,-,-,-,-,-,-
T0107Y 兆豐國際中小,2025/11,-,-,-,-,-,-,-,-
T0108Y 兆豐電子,2025/11,-,-,-,-,-,-,-,-
T0109Y 兆豐生命科學,2025/11,-,-,-,-,-,-,-,-
T0110Y 兆豐豐台灣,2025/11,-,-,-,-,-,-,-,-
T0112Y 兆豐國際綠鑽,2025/11,-,-,-,-,-,-,-,-
T0114Y 兆豐國際全球高股,2025/11,-,-,-,-,-,-,-,-
T0115Y 兆豐國際民生動力,2025/11,-,-,-,-,-,-,-,-
T0119A 兆豐中國 A股Aa,2025/11,-,-,-,-,-,-,-,-
T0120A 兆豐策略ETF,2025/11,-,-,-,-,-,-,-,-
T0121A 兆豐大中華平衡,2025/11,-,-,-,-,-,-,-,-
T0127A 兆豐中內需A.Aa,2025/11,-,-,-,-,-,-,-,-
T0129Y 兆豐台先通訊Aa,2025/11,-,-,-,-,-,-,-,-
T0131A 兆豐台金傳股Aa,2025/11,-,-,-,-,-,-,-,-
T0133A 兆豐全元宇宙Aa,2025/11,-,-,-,-,-,-,-,-
T0134A 兆豐新房地產Aa,2025/11,-,-,-,-,-,-,-,-
T0135A 兆豐日優多重Aa,2025/11,-,-,-,-,-,-,-,-
T0137A 兆豐收益多重A,2025/11,-,-,-,-,-,-,-,-
T0138A 兆豐台美永續Aa,2025/11,-,-,-,-,-,-,-,-
T0139A 兆豐尖端科技Aa,2025/11,-,-,-,-,-,-,-,-
T0311Y 第一金店頭,2025/11,-,-,-,-,-,-,-,-
T0313Y 第一金小型,2025/11,-,-,-,-,-,-,-,-
T0314Y 第一金電子,2025/11,-,-,-,-,-,-,-,-
T0316Y 第一金亞洲科技,2025/11,-,-,-,-,-,-,-,-
T0318Y 第一金大中華,2025/11,-,-,-,-,-,-,-,-
T0320Y 第一金中概平衡,2025/11,-,-,-,-,-,-,-,-
T0326A 第一金全球不動 A,2025/11,-,-,-,-,-,-,-,-
T0331Y 一金趨勢Aa,2025/11,-,-,-,-,-,-,-,-
T0334Y 第一金中國世紀,2025/11,-,-,-,-,-,-,-,-
T0335Y 第一金亞洲新興市,2025/11,-,-,-,-,-,-,-,-
T0336Y 第一金創新Aa,2025/11,-,-,-,-,-,-,-,-
T0343A 第一金全球多息 A,2025/11,-,-,-,-,-,-,-,-
T0346A 一金AI機器人Aa,2025/11,-,-,-,-,-,-,-,-
T0347A 一金AI FTech.Aa,2025/11,-,-,-,-,-,-,-,-
T0348A 一金大四喜組累,2025/11,-,-,-,-,-,-,-,-
T0349A 第一金水電Aa,2025/11,-,-,-,-,-,-,-,-
T0350A 第一金AI醫療Aa,2025/11,-,-,-,-,-,-,-,-
T0354A 第一金全AI.Aa,2025/11,-,-,-,-,-,-,-,-
T0359A 第一金全電競Aa,2025/11,-,-,-,-,-,-,-,-
T0360A 第一金全健瘦Aa,2025/11,-,-,-,-,-,-,-,-
T0361A 第一金全Pet.Aa,2025/11,-,-,-,-,-,-,-,-
T0363A 一金核心建設Aa,2025/11,-,-,-,-,-,-,-,-
T0365A 第一金永續多Aa,2025/11,-,-,-,-,-,-,-,-
T0366A 一金量化日本Aa,2025/11,-,-,-,-,-,-,-,-
T0405Y 匯豐安富,2025/11,-,-,-,-,-,-,-,-
T0406Y 匯豐成功,2025/11,-,-,-,-,-,-,-,-
T0408Y 匯豐龍鳳Aa,2025/11,-,-,-,-,-,-,-,-
T0410Y 匯豐龍騰電子,2025/11,-,-,-,-,-,-,-,-
T0414Y 匯豐中小,2025/11,-,-,-,-,-,-,-,-
T0415Y 匯豐台灣精典,2025/11,-,-,-,-,-,-,-,-
T0417Y 匯豐太平洋精典,2025/11,-,-,-,-,-,-,-,-
T0425Y 匯豐金磚動力,2025/11,-,-,-,-,-,-,-,-
T0428Y 匯豐新鑽動力,2025/11,-,-,-,-,-,-,-,-
T0429Y 匯豐全球趨勢組合,2025/11,-,-,-,-,-,-,-,-
T0431Y 匯豐關鍵資源Aa,2025/11,-,-,-,-,-,-,-,-
T0436Y 匯豐中國動力,2025/11,-,-,-,-,-,-,-,-
T0439Y 匯豐黃金及礦業股,2025/11,-,-,-,-,-,-,-,-
T0447Y 匯豐拉丁美洲,2025/11,-,-,-,-,-,-,-,-
T044SA 匯豐核優多Aa,2025/11,-,-,-,-,-,-,-,-
T0453Y 匯豐中國 A股Aa,2025/11,-,-,-,-,-,-,-,-
T0458A 匯豐中多息平Aa,2025/11,-,-,-,-,-,-,-,-
T0475A 匯豐中國科技精選,2025/11,-,-,-,-,-,-,-,-
T0479A 匯亞exJP多息平 A,2025/11,-,-,-,-,-,-,-,-
T0496A 匯豐ESG多資Aa,2025/11,-,-,-,-,-,-,-,-
T0498A 匯豐基礎建設Aa,2025/11,-,-,-,-,-,-,-,-
T0499A 匯豐核心多Aa,2025/11,-,-,-,-,-,-,-,-
T0502Y 元大多福,2025/11,-,-,-,-,-,-,-,-
T0503Y 元大多多基金,2025/11,-,-,-,-,-,-,-,-
T0504Y 元大卓越,2025/11,-,-,-,-,-,-,-,-
T0506Y 元大店頭,2025/11,-,-,-,-,-,-,-,-
T0508Y 元大高科技,2025/11,-,-,-,-,-,-,-,-
T0509Y 元大經貿基金,2025/11,-,-,-,-,-,-,-,-
T0513Y 元大新主流,2025/11,-,-,-,-,-,-,-,-
T0516Y 元大巴菲特基金,2025/11,-,-,-,-,-,-,-,-
T0537Y 元大亞太成長基金,2025/11,-,-,-,-,-,-,-,-
T0538Y 元大泛歐成長基金,2025/11,-,-,-,-,-,-,-,-
T0539A 元大全球滿意 A,2025/11,-,-,-,-,-,-,-,-
T0542A 元大全球地產建 A,2025/11,-,-,-,-,-,-,-,-
T0546A 元大全球公用能 A,2025/11,-,-,-,-,-,-,-,-
T0553Y 元大全球農業商機,2025/11,-,-,-,-,-,-,-,-
T0556Y 元大新中國基金,2025/11,-,-,-,-,-,-,-,-
T0557Y 元大印度基金,2025/11,-,-,-,-,-,-,-,-
T0558Y 元大新興亞洲,2025/11,-,-,-,-,-,-,-,-
T0560Y 元大華夏中小,2025/11,-,-,-,-,-,-,-,-
T0567Y 元大2001,2025/11,-,-,-,-,-,-,-,-
T0568Y 元大績效基金,2025/11,-,-,-,-,-,-,-,-
T0572Y 元大精準中小基金,2025/11,-,-,-,-,-,-,-,-
T0574Y 元大台灣加權股Aa,2025/11,-,-,-,-,-,-,-,-
T0575Y 元大全ETF穩健Aa,2025/11,-,-,-,-,-,-,-,-
T0576B 元大全球不動產 B,2025/11,-,-,-,-,-,-,-,-
T0577Y 元大全球新興市場,2025/11,-,-,-,-,-,-,-,-
T0578Y 元大全球 ETF成長,2025/11,-,-,-,-,-,-,-,-
T0581Y 元大大中華價值指,2025/11,-,-,-,-,-,-,-,-
T0585Y 元大巴西指數基金,2025/11,-,-,-,-,-,-,-,-
T0586Y 元大印度指數基金,2025/11,-,-,-,-,-,-,-,-
T0587Y 元大印尼指數基金,2025/11,-,-,-,-,-,-,-,-
T0589Y 元大新興市場 ESG,2025/11,-,-,-,-,-,-,-,-
T0591Y 元大中平衡 NTD,2025/11,-,-,-,-,-,-,-,-
T0596A 元大大中華 TMT,2025/11,-,-,-,-,-,-,-,-
T0597A 元大全股票入息A,2025/11,-,-,-,-,-,-,-,-
T05A2A 元大新東協平衡,2025/11,-,-,-,-,-,-,-,-
T05A3A 元大大中華豐平,2025/11,-,-,-,-,-,-,-,-
T05A7A 元大亞息100.Aa,2025/11,-,-,-,-,-,-,-,-
T05A9A 元大多重資產,2025/11,-,-,-,-,-,-,-,-
T05B2A 元大台卓50連Aa,2025/11,-,-,-,-,-,-,-,-
T05B3A 元大台高息連Aa,2025/11,-,-,-,-,-,-,-,-
T05B4A 元大富櫃50連Aa,2025/11,-,-,-,-,-,-,-,-
T05B5A 元大台高息龍Aa,2025/11,-,-,-,-,-,-,-,-
T05B6A 元大龍頭平衡Aa,2025/11,-,-,-,-,-,-,-,-
T05C1A 元大日企業Aa,2025/11,-,-,-,-,-,-,-,-
T05C2A 元台高息低波連Aa,2025/11,-,-,-,-,-,-,-,-
T05C3A 元大臺ESG連Aa,2025/11,-,-,-,-,-,-,-,-
T05C4Y 元大標普500連,2025/11,-,-,-,-,-,-,-,-
T05C5Y 元大航太防衛連,2025/11,-,-,-,-,-,-,-,-
T0601Y 景順潛力,2025/11,-,-,-,-,-,-,-,-
T0603Y 景順全球科技Bd,2025/11,-,-,-,-,-,-,-,-
T0605Y 景順台灣科技,2025/11,-,-,-,-,-,-,-,-
T0606Y 景順主流,2025/11,-,-,-,-,-,-,-,-
T0609Y 景順全球康健,2025/11,-,-,-,-,-,-,-,-
T0613A 景順全智慧組合A,2025/11,-,-,-,-,-,-,-,-
T0631A 景順2030優退Aa$,2025/11,-,-,-,-,-,-,-,-
T0633A 景順2031樂資Aa,2025/11,-,-,-,-,-,-,-,-
T0704Y 瀚亞高科技,2025/11,-,-,-,-,-,-,-,-
T0705Y 瀚亞外銷,2025/11,-,-,-,-,-,-,-,-
T0708Y 瀚亞菁華,2025/11,-,-,-,-,-,-,-,-
T0711Y 瀚亞中小型股,2025/11,-,-,-,-,-,-,-,-
T0715Y 瀚亞電通網,2025/11,-,-,-,-,-,-,-,-
T0716Y 瀚亞歐洲,2025/11,-,-,-,-,-,-,-,-
T0717Y 瀚亞理財通Aa,2025/11,-,-,-,-,-,-,-,-
T0718Y 瀚亞美高科技Aa,2025/11,-,-,-,-,-,-,-,-
T0722Y 瀚亞股債入息組 A,2025/11,-,-,-,-,-,-,-,-
T0723Y 瀚亞印度,2025/11,-,-,-,-,-,-,-,-
T0727Y 瀚亞亞太高股息 A,2025/11,-,-,-,-,-,-,-,-
T0729Y 瀚亞趨勢精選組合,2025/11,-,-,-,-,-,-,-,-
T0730A 瀚亞亞太不動產 A,2025/11,-,-,-,-,-,-,-,-
T0732Y 瀚亞亞太基礎建設,2025/11,-,-,-,-,-,-,-,-
T0733Y 瀚亞全球綠色金脈,2025/11,-,-,-,-,-,-,-,-
T0735Y 瀚亞非洲 A,2025/11,-,-,-,-,-,-,-,-
T0736Y 瀚亞巴西,2025/11,-,-,-,-,-,-,-,-
T0739Y 瀚亞中國 A股,2025/11,-,-,-,-,-,-,-,-
T0747A 瀚亞亞太豐平衡 A,2025/11,-,-,-,-,-,-,-,-
T0748A 瀚亞新興豐收A,2025/11,-,-,-,-,-,-,-,-
T0750A 瀚亞全球多重收A,2025/11,-,-,-,-,-,-,-,-
T0751A 瀚亞全球策收股A,2025/11,-,-,-,-,-,-,-,-
T0754A 瀚亞印度平衡Aa,2025/11,-,-,-,-,-,-,-,-
T0759A 瀚亞多重優組Aa,2025/11,-,-,-,-,-,-,-,-
T0760A 瀚亞印度多重Aa,2025/11,-,-,-,-,-,-,-,-
T0769A 瀚亞2030收優Aa,2025/11,-,-,-,-,-,-,-,-
T0771A 瀚亞2031多重Aa$,2025/11,-,-,-,-,-,-,-,-
T0772A 瀚亞科技資本Aa,2025/11,-,-,-,-,-,-,-,-
T0773A 瀚亞智數股Aa,2025/11,-,-,-,-,-,-,-,-
T0802Y PGIM高成長Aa,2025/11,-,-,-,-,-,-,-,-
T0803Y PGIM金滿意Aa,2025/11,-,-,-,-,-,-,-,-
T0804Y PGIM亞太Aa,2025/11,-,-,-,-,-,-,-,-
T0806Y PGIM店頭市場Aa,2025/11,-,-,-,-,-,-,-,-
T0807Y 保德信第一,2025/11,-,-,-,-,-,-,-,-
T0808Y PGIM科技島Aa,2025/11,-,-,-,-,-,-,-,-
T0809Y PGIM大中華Aa,2025/11,-,-,-,-,-,-,-,-
T0810Y PGIM中小型股Aa,2025/11,-,-,-,-,-,-,-,-
T0812Y PGIM新世紀Aa,2025/11,-,-,-,-,-,-,-,-
T0814Y PGIM金平衡Aa,2025/11,-,-,-,-,-,-,-,-
T0815Y 保德信台商全方位,2025/11,-,-,-,-,-,-,-,-
T0816Y PGIM醫療生化Aa,2025/11,-,-,-,-,-,-,-,-
T0817Y PGIM全球中小Aa,2025/11,-,-,-,-,-,-,-,-
T0824Y PGIM新興趨勢Aa,2025/11,-,-,-,-,-,-,-,-
T0825Y 保德信歐洲組合,2025/11,-,-,-,-,-,-,-,-
T0826Y PGIM全球資源Aa,2025/11,-,-,-,-,-,-,-,-
T0827Y PGIM全基建設Aa,2025/11,-,-,-,-,-,-,-,-
T0828Y PGIM全消商機Aa,2025/11,-,-,-,-,-,-,-,-
T0830Y PGIM拉丁美洲Aa,2025/11,-,-,-,-,-,-,-,-
T0832Y PGIM中國品牌Aa,2025/11,-,-,-,-,-,-,-,-
T0836Y PGIM中國中小Aa,2025/11,-,-,-,-,-,-,-,-
T0837A PGIM多收組Aa,2025/11,-,-,-,-,-,-,-,-
T0838A 保德策酬 ETF組,2025/11,-,-,-,-,-,-,-,-
T0839A PGIM成ETF組Aa,2025/11,-,-,-,-,-,-,-,-
T0847A PGIM全供應鏈Aa,2025/11,-,-,-,-,-,-,-,-
T0848A PGIM生態ESG.Aa,2025/11,-,-,-,-,-,-,-,-
T0890A PGIM中國好平Aa,2025/11,-,-,-,-,-,-,-,-
T0901Y 統一統信,2025/11,-,-,-,-,-,-,-,-
T0902Y 統一全天候A,2025/11,-,-,-,-,-,-,-,-
T0903Y 統一黑馬,2025/11,-,-,-,-,-,-,-,-
T0904Y 統一龍馬,2025/11,-,-,-,-,-,-,-,-
T0906Y 統一中小,2025/11,-,-,-,-,-,-,-,-
T0909Y 統一經建,2025/11,-,-,-,-,-,-,-,-
T0910Y 統一奔騰,2025/11,-,-,-,-,-,-,-,-
T0911Y 統一大滿貫A,2025/11,-,-,-,-,-,-,-,-
T0912Y 統一亞太,2025/11,-,-,-,-,-,-,-,-
T0921Y 統一強漢,2025/11,-,-,-,-,-,-,-,-
T0922Y 統一台灣動力,2025/11,-,-,-,-,-,-,-,-
T0923Y 統一大龍印,2025/11,-,-,-,-,-,-,-,-
T0924Y 統一大中華中小,2025/11,-,-,-,-,-,-,-,-
T0925Y 統一亞洲科技能源,2025/11,-,-,-,-,-,-,-,-
T0927Y 統一亞洲大金磚,2025/11,-,-,-,-,-,-,-,-
T0931Y 統一大龍騰中國,2025/11,-,-,-,-,-,-,-,-
T0933A 統一全球新科技,2025/11,-,-,-,-,-,-,-,-
T0934A 統一全球動多產A,2025/11,-,-,-,-,-,-,-,-
T0935A 統一大東協高息,2025/11,-,-,-,-,-,-,-,-
T0938A 統一全AIoT.Aa,2025/11,-,-,-,-,-,-,-,-
T0945A 統一台高息Aa,2025/11,-,-,-,-,-,-,-,-
T0948A 統一優選低波Aa,2025/11,-,-,-,-,-,-,-,-
T1001Y 富邦基金Ad,2025/11,-,-,-,-,-,-,-,-
T1004Y 富邦精準,2025/11,-,-,-,-,-,-,-,-
T1005Y 富邦長紅,2025/11,-,-,-,-,-,-,-,-
T1006Y 富邦台灣鳳凰,2025/11,-,-,-,-,-,-,-,-
T1010Y 富邦精銳中小,2025/11,-,-,-,-,-,-,-,-
T1011Y 富邦高成長,2025/11,-,-,-,-,-,-,-,-
T1012Y 富邦科技基金,2025/11,-,-,-,-,-,-,-,-
T1017Y 富邦台灣心,2025/11,-,-,-,-,-,-,-,-
T1026Y 富邦全球不動產,2025/11,-,-,-,-,-,-,-,-
T1028Y 富邦大中華成長,2025/11,-,-,-,-,-,-,-,-
T1047A 富邦中多重資產A,2025/11,-,-,-,-,-,-,-,-
T1063A 富邦絲路多資產A,2025/11,-,-,-,-,-,-,-,-
T1080A 富邦AI多重Aa,2025/11,-,-,-,-,-,-,-,-
T1089A 富邦台高股息Aa,2025/11,-,-,-,-,-,-,-,-
T1097A 富邦台美雙星Aa,2025/11,-,-,-,-,-,-,-,-
